page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1.0,wp.wattpad,Wattpad-10.15.0.apk,Done,https://apkcombo.com/wattpad/wp.wattpad/download/apk,
1.0,org.jw.jwlibrary.mobile,JW-Library-13.5.apk,Done,https://apkcombo.com/jw-library/org.jw.jwlibrary.mobile/download/apk,
1.0,com.overwolf.statsroyale,Stats-Royale-3.6.2.apk,Done,https://apkcombo.com/stats-royale/com.overwolf.statsroyale/download/apk,
1.0,com.amazon.kindle,Amazon-Kindle-8.81.0.100-1.3.289648.0-.apk,Done,https://apkcombo.com/amazon-kindle/com.amazon.kindle/download/apk,
1.0,code.marvelvscapcom.mvsc,Code-Marvel-vs-Capcom--Clash-of-Super-Heroes-1.9.2.apk,Done,https://apkcombo.com/code-marvel-vs-capcom-clash-of-super-heroes/code.marvelvscapcom.mvsc/download/apk,
1.0,com.droidta.spen,English-Spanish-Translator-2.2.apk,Done,https://apkcombo.com/english-spanish-translator/com.droidta.spen/download/apk,
1.0,pdf.reader,PDF-Reader-6.5.apk,Done,https://apkcombo.com/pdf-reader/pdf.reader/download/apk,
1.0,com.eversilk.gachastar,Gacha-Star-2.0.apk,Done,https://apkcombo.com/gacha-star/com.eversilk.gachastar/download/apk,
1.0,com.audible.application,Audible-3.52.0.apk,Done,https://apkcombo.com/audible/com.audible.application/download/apk,
1.0,air.com.myheritage.mobile,MyHeritage-6.4.1.apk,Done,https://apkcombo.com/myheritage/air.com.myheritage.mobile/download/apk,
