page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1,com.ivuu,AlfredCamera-2023.10.0.apk,Done,https://apkcombo.com/alfred-camera/com.ivuu/download/apk,
1,codematics.universal.tv.remote.control,Universal-TV-Remote-Control-1.1.29.apk,Done,https://apkcombo.com/universal-tv-remote-control/codematics.universal.tv.remote.control/download/apk,
1,com.redfin.android,Redfin-475.1.apk,Done,https://apkcombo.com/redfin/com.redfin.android/download/apk,
1,com.inter_ikea.place,IKEA-Place-4.1.108.apk,Done,https://apkcombo.com/ikea-place/com.inter_ikea.place/download/apk,
1,com.nightowlsp.nop,Night-Owl-Protect-1.1.90.apk,Done,https://apkcombo.com/night-owl-protect/com.nightowlsp.nop/download/apk,
1,com.tmobile.homeisp,T-Mobile-Internet-2.11.apk,Done,https://apkcombo.com/t-mobile-internet/com.tmobile.homeisp/download/apk,
1,tv.peel.app,Peel-Remote-10.10.0.5.apk,Done,https://apkcombo.com/peel-remote/tv.peel.app/download/apk,
1,com.autodesk.homestyler,Homestyler-Room-Realize-design-7.3.0.apk,Done,https://apkcombo.com/homestyler/com.autodesk.homestyler/download/apk,
1,com.vivint.vivintsky,Vivint-23.6.200--3-.apk,Done,https://apkcombo.com/vivint/com.vivint.vivintsky/download/apk,
1,com.zillow.android.zillowmap,Zillow-14.6.1.72135.apk,Done,https://apkcombo.com/zillow/com.zillow.android.zillowmap/download/apk,
