page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1.0,com.pinterest,Pinterest-11.18.0.apk,Done,https://apkcombo.com/pinterest/com.pinterest/download/apk,
1.0,com.amazon.dee.app,Amazon-Alexa-2.2.512559.0.apk,Done,https://apkcombo.com/amazon-alexa/com.amazon.dee.app/download/apk,
1.0,com.google.android.apps.chromecast.app,Google-Home-3.1.1.14.apk,Done,https://apkcombo.com/google-home/com.google.android.apps.chromecast.app/download/apk,
1.0,com.life360.android.safetymapd,Life360-23.17.0.apk,Done,https://apkcombo.com/life360/com.life360.android.safetymapd/download/apk,
1.0,com.requapp.requ,AttaPoll-3.10.0.apk,Done,https://apkcombo.com/attapoll/com.requapp.requ/download/apk,
1.0,com.hualai,Wyze-2.41.5..apk,Done,https://apkcombo.com/wyze/com.hualai/download/apk,
1.0,com.samsung.android.bixby.agent,Bixby-Voice-3.3.03.2.apk,Done,https://apkcombo.com/bixby-voice/com.samsung.android.bixby.agent/download/apk,
1.0,com.halattewatssapejadida,Oatsab-1.0.apk,Done,https://apkcombo.com/oatsab/com.halattewatssapejadida/download/apk,
1.0,com.samsung.android.oneconnect,SmartThings-1.8.01.22.apk,Done,https://apkcombo.com/smartthings/com.samsung.android.oneconnect/download/apk,
1.0,com.rightmove.android,Rightmove-3.60.0.apk,Done,https://apkcombo.com/rightmove/com.rightmove.android/download/apk,
