page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1,com.icedrive.app,Icedrive-#Secure-Cloud-Storage-2.5.5.apk,Done,https://apkcombo.com/icedrive-secure-cloud-storage/com.icedrive.app/download/apk,
1,com.dubox.drive,Terabox-3.13.1.apk,Done,https://apkcombo.com/terabox/com.dubox.drive/download/apk,
1,hr.telekomcloud.storage,Cloud-Storage-3.9.6.apk,Done,https://apkcombo.com/cloud-storage/hr.telekomcloud.storage/download/apk,
1,com.degoo.android,Degoo--20-GB-Cloud-Storage-1.57.174.221028.apk,Done,https://apkcombo.com/degoo-20-gb-cloud-storage/com.degoo.android/download/apk,
1,ru.yandex.disk,Yandex-Disk—file-cloud-storage-5.59.1.apk,Done,https://apkcombo.com/yandex-disk-file-cloud-storage/ru.yandex.disk/download/apk,
1,com.google.android.apps.nbu.files,Files-by-Google-1.522.533786359.apk,Done,https://apkcombo.com/files-by-google/com.google.android.apps.nbu.files/download/apk,
1,com.alphainventor.filemanager,File-Manager-3.1.5.apk,Done,https://apkcombo.com/file-manager/com.alphainventor.filemanager/download/apk,
1,com.mi.android.globalFileexplorer,File-Manager-V1-210568.apk,Done,https://apkcombo.com/file-manager/com.mi.android.globalFileexplorer/download/apk,
1,com.dropbox.android,Dropbox-330.2.2.apk,Done,https://apkcombo.com/dropbox/com.dropbox.android/download/apk,
1,com.google.android.apps.docs,Google-Drive-2.23.221.0.all.alldpi.apk,Done,https://apkcombo.com/google-drive/com.google.android.apps.docs/download/apk,
