page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1.0,com.estrongs.android.pop,ES-File-Explorer-4.4.0.2.1.apk,Done,https://apkcombo.com/es-file-explorer/com.estrongs.android.pop/download/apk,"android.permission.KILL_BACKGROUND_PROCESSES
android.permission.WRITE_SETTINGS
android.permission.CHANGE_WIFI_STATE
android.permission.CHANGE_NETWORK_STATE
android.permission.INTERNET
android.permission.SET_WALLPAPER
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
com.android.launcher.permission.INSTALL_SHORTCUT
com.android.launcher.permission.UNINSTALL_SHORTCUT
android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.WRITE_MEDIA_STORAGE
android.permission.WAKE_LOCK
android.permission.ACCESS_SUPERUSER
android.permission.VIBRATE
.PERMISSION
android.permission.CHANGE_WIFI_MULTICAST_STATE
android.permission.SYSTEM_ALERT_WINDOW
android.permission.GET_TASKS
com.google.android.c2dm.permission.RECEIVE
com.estrongs.android.pop.permission.C2D_MESSAGE
android.permission.REQUEST_INSTALL_PACKAGES
android.permission.GET_PACKAGE_SIZE
android.permission.CLEAR_APP_CACHE
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.READ_PHONE_STATE
android.permission.CAMERA
android.permission.MANAGE_DOCUMENTS
android.permission.GET_ACCOUNTS
android.permission.READ_EXTERNAL_STORAGE
android.permission.REORDER_TASKS
qiku.permission.HIDE_NOTIFICATION
android.permission.QUERY_ALL_PACKAGES
com.estrongs.android.pop.reaper.permission.READ_DATA
com.estrongs.android.pop.reaper.permission.WRITE_DATA
com.estrongs.android.pop.permission.QDAS_MESSAGE
com.estrongs.android.pop.permission.LDSDK_MESSAGE
com.estrongs.android.pop.openadsdk.permission.TT_PANGOLIN
com.asus.msa.SupplementaryDID.ACCESS
freemme.permission.msa
android.permission.READ_PRIVILEGED_PHONE_STATE
com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA
android.permission.BROADCAST_STICKY
com.hihonor.permission.MANAGE_FOLD_SCREEN
com.hihonor.permission.MANAGE_FOLD_SCREEN_PRIVILEGED"
1.0,com.microsoft.office.word,Microsoft-Word-16.0.16227.20132.apk,Done,https://apkcombo.com/word/com.microsoft.office.word/download/apk,"android.permission.WRITE_EXTERNAL_STORAGE
android.permission.MANAGE_EXTERNAL_STORAGE
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.FOREGROUND_SERVICE
android.permission.GET_ACCOUNTS
android.permission.MANAGE_ACCOUNTS
android.permission.AUTHENTICATE_ACCOUNTS
android.permission.USE_CREDENTIALS
android.permission.ACCESS_WIFI_STATE
android.permission.RECORD_AUDIO
android.permission.CAMERA
com.android.vending.CHECK_LICENSE
com.android.launcher.permission.INSTALL_SHORTCUT
com.google.android.c2dm.permission.RECEIVE
com.microsoft.office.word.permission.C2D_MESSAGE
android.permission.READ_CONTACTS
android.permission.WAKE_LOCK
android.permission.GET_PACKAGE_SIZE
android.permission.SYSTEM_ALERT_WINDOW
android.permission.READ_EXTERNAL_STORAGE
com.android.vending.BILLING
android.permission.BLUETOOTH
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.VIBRATE
android.permission.NFC"
1.0,com.mediafire.android,MediaFire-5.3.0.apk,Done,https://apkcombo.com/mediafire/com.mediafire.android/download/apk,"android.permission.INTERNET
android.permission.READ_EXTERNAL_STORAGE
android.permission.ACCESS_NETWORK_STATE
android.permission.WAKE_LOCK
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.VIBRATE
android.permission.FOREGROUND_SERVICE
com.google.android.gms.permission.AD_ID
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"
1.0,com.microsoft.appmanager,Link-to-Windows-3.7.9.apk,Done,https://apkcombo.com/link-to-windows/com.microsoft.appmanager/download/apk,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.READ_PHONE_STATE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.RECEIVE_BOOT_COMPLETED
com.android.alarm.permission.SET_ALARM
android.permission.WAKE_LOCK
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS
android.permission.GET_TASKS
android.permission.CAMERA
com.sony.mobile.permission.SYSTEM_UI_VISIBILITY_EXTENSION
android.permission.ACCESS_WIFI_STATE
android.permission.BLUETOOTH
android.permission.GET_ACCOUNTS
android.permission.READ_SMS
android.permission.SEND_SMS
android.permission.READ_CONTACTS
android.permission.ACCESS_FINE_LOCATION
android.permission.BLUETOOTH_ADMIN
android.permission.FOREGROUND_SERVICE
android.permission.READ_CALL_LOG
android.permission.SYSTEM_ALERT_WINDOW
com.google.android.c2dm.permission.RECEIVE
android.permission.REQUEST_INSTALL_PACKAGES
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
sec.android.permission.READ_MSG_PREF
android.permission.AUTHENTICATE_ACCOUNTS
android.permission.MANAGE_ACCOUNTS"
1.0,com.intsig.camscanner,CamScanner-6.39.0.2304130000.apk,Done,https://apkcombo.com/camscanner/com.intsig.camscanner/download/apk,"android.permission.FOREGROUND_SERVICE
android.permission.READ_EXTERNAL_STORAGE
android.permission.CAMERA
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.GET_TASKS
android.permission.ACCESS_NETWORK_STATE
android.permission.INTERNET
android.permission.ACCESS_WIFI_STATE
com.android.launcher.permission.INSTALL_SHORTCUT
com.intsig.camscanner.Account
com.android.vending.BILLING
android.permission.VIBRATE
com.google.android.c2dm.permission.RECEIVE
com.google.android.gms.permission.AD_ID
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE
android.permission.POST_NOTIFICATIONS
android.permission.WAKE_LOCK
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.sony.mobile.permission.SYSTEM_UI_VISIBILITY_EXTENSION"
1.0,com.microsoft.office.officehubrow,Microsoft-Office-16.0.16227.20212.xapk,Done,https://apkcombo.com/microsoft-office/com.microsoft.office.officehubrow/download/apk,"android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.MANAGE_EXTERNAL_STORAGE
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.GET_ACCOUNTS
android.permission.MANAGE_ACCOUNTS
android.permission.AUTHENTICATE_ACCOUNTS
android.permission.USE_CREDENTIALS
android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.CHANGE_WIFI_STATE
android.permission.ACCESS_FINE_LOCATION
android.permission.READ_CONTACTS
com.microsoft.office.officemobile.permission.NOTIFICATION_LENS
com.microsoft.office.officemobile.permission.NOTIFICATION_CENTER_PUSH
com.microsoft.office.officemobile.permission.OFFICEMOBILE_PACKAGE_REPLACED
com.microsoft.office.officemobile.permission.NOTIFICATION_MY_NETWORK
com.microsoft.office.officemobile.permission.NOTIFICATION_EXTERNAL_EVENT
com.microsoft.office.officemobile.permission.NOTIFICATION_GAMIFICATION
com.microsoft.office.officemobile.permission.MOS_NOTIFICATION
com.microsoft.office.officemobile.permission.SYSTEM_TIME_CHANGED
android.permission.HIGH_SAMPLING_RATE_SENSORS
com.google.android.gms.permission.AD_ID
android.permission.FOREGROUND_SERVICE
android.permission.WAKE_LOCK
android.permission.RECEIVE_BOOT_COMPLETED
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.SYSTEM_ALERT_WINDOW
com.google.android.c2dm.permission.RECEIVE
android.permission.GET_PACKAGE_SIZE
android.permission.CAMERA
com.android.vending.BILLING
android.permission.BLUETOOTH_CONNECT
android.permission.VIBRATE
android.permission.RECORD_AUDIO
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.READ_PHONE_STATE
com.android.vending.CHECK_LICENSE
android.permission.NFC"
1.0,mega.privacy.android.app,MEGA-8.0-231180445--84bf139180-.apk,Done,https://apkcombo.com/mega/mega.privacy.android.app/download/apk,"android.permission.INTERNET
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.ACCESS_NETWORK_STATE
android.permission.WAKE_LOCK
android.permission.CAMERA
com.google.android.apps.photos.permission.GOOGLE_PHOTOS
android.permission.READ_CONTACTS
com.android.vending.BILLING
android.permission.VIBRATE
android.permission.CHANGE_NETWORK_STATE
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.RECORD_AUDIO
android.permission.BLUETOOTH
android.permission.FLAG_SHOW_WHEN_LOCKED
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_MEDIA_LOCATION
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.FOREGROUND_SERVICE
android.permission.SYSTEM_ALERT_WINDOW
android.permission.USE_FULL_SCREEN_INTENT
android.permission.USE_BIOMETRIC
android.permission.SCHEDULE_EXACT_ALARM
android.permission.BLUETOOTH_CONNECT
android.permission.READ_MEDIA_IMAGES
android.permission.READ_MEDIA_AUDIO
android.permission.READ_MEDIA_VIDEO
android.permission.POST_NOTIFICATIONS
android.permission.USE_FINGERPRINT
com.google.android.c2dm.permission.RECEIVE
mega.privacy.android.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.sec.android.provider.badge.permission.READ
com.sec.android.provider.badge.permission.WRITE
com.htc.launcher.permission.READ_SETTINGS
com.htc.launcher.permission.UPDATE_SHORTCUT
com.sonyericsson.home.permission.BROADCAST_BADGE
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
com.anddoes.launcher.permission.UPDATE_COUNT
com.majeur.launcher.permission.UPDATE_BADGE
com.huawei.android.launcher.permission.CHANGE_BADGE
com.huawei.android.launcher.permission.READ_SETTINGS
com.huawei.android.launcher.permission.WRITE_SETTINGS
android.permission.READ_APP_BADGE
com.oppo.launcher.permission.READ_SETTINGS
com.oppo.launcher.permission.WRITE_SETTINGS
me.everything.badger.permission.BADGE_COUNT_READ
me.everything.badger.permission.BADGE_COUNT_WRITE"
1.0,com.microsoft.office.powerpoint,Microsoft-PowerPoint-16.0.16227.20132.apk,Done,https://apkcombo.com/microsoft-powerpoint/com.microsoft.office.powerpoint/download/apk,"android.permission.WRITE_EXTERNAL_STORAGE
android.permission.MANAGE_EXTERNAL_STORAGE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.GET_ACCOUNTS
android.permission.MANAGE_ACCOUNTS
android.permission.AUTHENTICATE_ACCOUNTS
android.permission.USE_CREDENTIALS
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
com.android.vending.CHECK_LICENSE
android.permission.READ_USER_DICTIONARY
android.permission.WRITE_USER_DICTIONARY
com.android.launcher.permission.INSTALL_SHORTCUT
android.permission.VIBRATE
android.permission.RECORD_AUDIO
android.permission.MODIFY_AUDIO_SETTINGS
com.google.android.c2dm.permission.RECEIVE
com.microsoft.office.powerpoint.permission.C2D_MESSAGE
android.permission.READ_CONTACTS
android.permission.SYSTEM_ALERT_WINDOW
android.permission.HIGH_SAMPLING_RATE_SENSORS
android.permission.WAKE_LOCK
android.permission.FOREGROUND_SERVICE
android.permission.GET_PACKAGE_SIZE
android.permission.CAMERA
com.android.vending.BILLING
android.permission.READ_EXTERNAL_STORAGE
android.permission.NFC"
1.0,com.microsoft.office.excel,Microsoft-Excel-16.0.16227.20132.apk,Done,https://apkcombo.com/excel/com.microsoft.office.excel/download/apk,"android.permission.RECEIVE_BOOT_COMPLETED
android.permission.ACCESS_NETWORK_STATE
android.permission.INTERNET
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.MANAGE_EXTERNAL_STORAGE
android.permission.GET_ACCOUNTS
android.permission.MANAGE_ACCOUNTS
android.permission.AUTHENTICATE_ACCOUNTS
android.permission.USE_CREDENTIALS
android.permission.ACCESS_WIFI_STATE
com.android.vending.CHECK_LICENSE
com.android.launcher.permission.INSTALL_SHORTCUT
com.google.android.c2dm.permission.RECEIVE
com.microsoft.office.excel.permission.C2D_MESSAGE
android.permission.READ_CONTACTS
android.permission.WAKE_LOCK
android.permission.FOREGROUND_SERVICE
android.permission.SYSTEM_ALERT_WINDOW
android.permission.CAMERA
android.permission.GET_PACKAGE_SIZE
com.android.vending.BILLING
android.permission.VIBRATE
android.permission.NFC"
1.0,com.mobi.market.appstore,Mobi-Market---App-Store-v5.1-5.1.apk,Done,https://apkcombo.com/mobi-market-app-store-v5-1/com.mobi.market.appstore/download/apk,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.SYSTEM_ALERT_WINDOW
android.permission.ACCESS_WIFI_STATE
android.permission.GET_ACCOUNTS
android.permission.NETWORK
android.permission.USE_CREDENTIALS
android.permission.WAKE_LOCK
com.mobi.market.appstore.permission.C2D_MESSAGE
com.google.android.c2dm.permission.RECEIVE
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.SET_WALLPAPER
android.permission.VIBRATE
com.google.android.gms.permission.ACTIVITY_RECOGNITION"
