app_id,label_content
15,"{""label"" : { ""incorrect"": 1,  ""incomplete"": 1, ""inconsistent"": 1 }, ""label_description"" : { ""incorrect"": ""The Privacy Policy includes that information is shared with and collected by third party services which contradicts the 'No data shared with/third party', 'No data collected' sections in the Data Safety."", ""incomplete"": ""The Data Safety does not include detail about why data is collected and shared or any security practices listed in the Privacy Policy. All this information is critical for users to understand how their data is used and secured."", ""inconsistent"": ""The statement of 'No data shared with third party' in the data safety contradicts the information 'The app does use third party services that may collect information used to identify you' in the Privacy Policy, similarly for 'no data collected' versus collected 'Log Data'."" } }"
25,"{""label"" : { ""incorrect"": 1, ""incomplete"": 1, ""inconsistent"": 1 }, ""label_description"" :  { ""incorrect"": ""The Privacy Policy by 'ARABELA' uses data for identification, statistical data, to evaluate services, marketing, and commercial prospecting, There's no explicit mention of Emails, SMS or MMS messages, Other in-app messages, or any Device IDs mentioned in the Data Safety details."", ""incomplete"": ""The Data Safety details doesn't give information about the data used for marketing or advertising, and for commercial prospecting, which were highlighted in Privacy Policy."", ""inconsistent"": ""The security practices mentioned in Data Safety details says 'Data isn't encrypted', whereas the Privacy Policy stated that ARABELA allows you to access, rectify or cancel your personal data, or oppose its use (known as ARCO rights), which implies the data should be secured hence the inconsistency."" } }"
26,"{""label"" : { ""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""The Privacy Policy does not provide a section on sharing information contrary to Data Safety's claim of sharing various data types for 'Analytics - Advertising or marketing' purposes."", ""incomplete"": ""No information is incomplete as the Privacy Policy does not provide any data on this subject."", ""inconsistent"": ""No inconsistency can be determined as Privacy Policy provides no information on this subject."" } }"
27,"{""label"" : { ""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 1 }, ""label_description"" : { ""incorrect"": null, ""incomplete"": null, ""inconsistent"": ""In the data safety section, it states 'No data shared with third party', but the privacy policy does not provide any sharing information section to confirm or deny this information."" } }"
28,"{""label"" : { ""incorrect"": 0,  ""incomplete"": 0, ""inconsistent"": 1 }, ""label_description"" : { ""incorrect"": ""None"", ""incomplete"": ""None"", ""inconsistent"": ""The Data Safety shares a lot of detailed information about what data is shared, how, and why. However, the Privacy Policy does not include a section about data sharing. This inconsistency can create confusion for users about the app's data sharing practices."" } }"
29,"{""label"" : { 
""incorrect"": 1,
""incomplete"": 0,
""inconsistent"": 0
},
""label_description"" : {
""incorrect"": ""The Data Safety mention that 'No data shared with third party' but the Privacy Policy does not provide sharing information section, thus it can be considered as incorrect according to the notes of classification."",
""incomplete"": ""No issues found related to information incompleteness"",
""inconsistent"": ""No issues found related to consistency in the provided information"" 
}
}"
30,"{""label"" : { ""incorrect"": 1,  ""incomplete"": 0, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""Data Safety says 'No data shared with third party' but the Privacy Policy does not provide any section on sharing information. It's incorrect as the Privacy Policy should have detailed this point"", ""incomplete"": ""No incomplete information found"", ""inconsistent"": ""No inconsistency found"" } }"
31,"{""label"" : { ""incorrect"": 1,  ""incomplete"": 0, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""Data Safety claims no data is shared with a third party but Privacy Policy does not provide a corresponding section for this claim."", ""incomplete"": ""N/A"", ""inconsistent"": ""N/A"" } }"
32,"{""label"" : { ""incorrect"": 1,  ""incomplete"": 0, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""Both the Data Safety and the Privacy Policy parts are found to be incorrect since the Privacy Policy does not provide any data related to data shared, data collected, and security practices."", ""incomplete"": ""The data is not incomplete since the Privacy Policy does not provide any data related to data shared, data collected, and security practices."", ""inconsistent"": ""No inconsistency is found amongst the Data Safety and the Privacy Policy."" } }"
33,"{""label"" : { ""incorrect"": 1, ""incomplete"": 1, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""The Privacy Policy failed to provide the sharing information section. It is an important section as per the Data Safety standards"", ""incomplete"": ""The provided Data Safety information is incomplete as the Privacy Policy does not provide sharing information section to compare and verify. In terms of data collection, there's no mention in the Privacy Policy, thus we can't confirm the completeness."", ""inconsistent"": ""No apparent inconsistencies found between Data Safety and Privacy Policy, mainly due to lack of information in the latter"" } }"
34,"{""label"": { ""incorrect"": 1, ""incomplete"": 1, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""The Privacy Policy does not mention the data types or purpose of data being shared or collected, as mentioned in the Data Safety section"", ""incomplete"": ""The Privacy Policy does not detail information about the app's security practices or the data it shares or collected, which makes it incomplete"", ""inconsistent"": ""No inconsistency can be identified without the Privacy Policy information"" } }"
35,"{
""label"" : {
""incorrect"": 0,
""incomplete"": 1,
""inconsistent"": 0
},
""label_description"" : {
""incorrect"": ""N/A"",
""incomplete"": ""The Data Safety claims that 'No data shared with third party', 'No data collected' and provides specific security practices such as 'Data is encrypted in transit' and 'Data can’t be deleted', however, the Privacy Policy does not provide any specific details about data shared, collected and security practices."",
""inconsistent"": ""N/A""
}
}"
36,"{""label"" : { ""incorrect"": 0,  ""incomplete"": 1, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""There is no incorrect information as the Privacy Policy does not specify about the particular details."", ""incomplete"": ""The Data Safety information is incomplete as the Privacy Policy does not specify about details on data shared, data collected, and security practices."", ""inconsistent"": ""There is no inconsistency as the Privacy Policy does not provide any specific details to compare with the Data Safety information."" } }"
37,"{""label"" : { ""incorrect"": 0,  ""incomplete"": 1, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""No data is found incorrect as there are no opposing information between the Data Safety and the Privacy Policy."", ""incomplete"": ""The Data Safety provides a general outlay of information categories but doesn't go onto specifics as stated in the Privacy Policy. For example, the Privacy Policy mentions collecting information such as 'screen resolution, device model, operating system version, viewed and downloaded and installed images in the application' which are not detailed in the Data Safety section."", ""inconsistent"": ""There isn't any inconsistency between the Data Safety policy and the Privacy Policy as their provided information does not contradict each other."" } }"
38,"{""label"": {""incorrect"": 1, ""incomplete"": 1, ""inconsistent"": 0}, ""label_description"": {""incorrect"": ""The Data Safety section provides detailed information about data shared, however the Privacy Policy does not provide any sharing information."", ""incomplete"": ""The Privacy Policy does not provide complete information as compared to the Data Safety section."", ""inconsistent"": ""Since there is no data provided in the Privacy Policy to compare with, inconsistency cannot be assessed.""}}"
39,"{""label"" : { ""incorrect"": 1,  ""incomplete"": 1, ""inconsistent"": 1 }, ""label_description"" : { ""incorrect"": ""The Privacy Policy does not provide any data sharing information while Data Safety section shows data sharing information across multiple categories."", ""incomplete"": ""Data Safety provides detailed info on data collection, sharing and security practices but Privacy Policy is silent about sharing information which makes it incomplete when compared to the Data Safety Info."", ""inconsistent"": ""The info in Data Safety and Privacy Policy is inconsistent as the Data Safety section provides comprehensive info on data sharing, data collected, categories, purposes and whether it's optional or not, while the Privacy Policy provides no such details. This creates inconsistency between the provided information by the two sections."" } }"
40,"{""label"" : { ""incorrect"": 0, ""incomplete"": 0, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""Not applicable as Privacy policy data is not available"", ""incomplete"": ""Not applicable as Privacy policy data is not available"", ""inconsistent"": ""Not applicable as Privacy policy data is not available"" } }"
41,"{""label"" : { ""incorrect"": 1,  ""incomplete"": 1, ""inconsistent"": 1 }, ""label_description"" : { ""incorrect"": ""The Data Safety information claims that 'No data collected'. However, the Privacy Policy mentions that personal information and anonymous data are collected for improving services and targeting ads."", ""incomplete"": ""The Data Safety part does not mention about using information for improving services and targeting ads which are stated in the Privacy Policy."", ""inconsistent"": ""The Data Safety lists some security practices such as 'Data is encrypted in transit' and 'You can request that data be deleted', but the Privacy Policy indicates that no method of transmission or electronic storage is 100% secure which contrasts Data Safety's statement."" } }"
42,"{
""label"" : {
""incorrect"": 0,
""incomplete"": 1,
""inconsistent"": 0
},
""label_description"" : {
""incorrect"": ""No information was found to be incorrect as there was no contradicting information between the Data Safety and Privacy Policy."",
""incomplete"": ""The Privacy Policy did not provide information on data sharing, making the information incomplete in comparison to the Data Safety."",
""inconsistent"": ""No inconsistencies were found as there were no contradicting information between the Data Safety and the Privacy Policy.""
}
}"
43,"{""label"" : { ""incorrect"": 1,  ""incomplete"": 1, ""inconsistent"": 1}, ""label_description"" : { ""incorrect"": ""As Privacy policy couldn't be accessed due to an error, there might be instances of incorrect information from Data Safety as it cannot be cross-verified."", ""incomplete"": ""The Privacy Policy information is incomplete due to an error during processing, therefore it may make the evaluated data incomplete."", ""inconsistent"": ""Due to the error, cannot determine possible inconsistencies between the Data Safety information and the unavailable information from the Privacy Policy."" } }"
44,"{
""label"": {
""incorrect"": 1,
""incomplete"": 0,
""inconsistent"": 1
},
""label_description"": {
""incorrect"": ""The Data Safety section has mentioned 'no data shared with third party', however, there's no provide sharing information section in the Privacy Policy to confirm or refute this."",
""incomplete"": ""The Data Safety and Privacy Policy highlight the same components including 'Device or other IDs' and 'App info and performance' for data collected. There are no apparent omissions, so it is complete in this context."",
""inconsistent"": ""The information in the Data Safety section about data sharing is inconsistent with the Privacy Policy, since the Privacy Policy does not discuss the sharing of data.""
}
}"
45,"{""label"" : { ""incorrect"": 1,  ""incomplete"": 1, ""inconsistent"": 1 }, ""label_description"" : { ""incorrect"": ""Data Safety states 'No data shared with third party' and 'No data collected' which is contrary to the Privacy Policy information that app shares data with Google and other business partners, and also collects certain types of data."", ""incomplete"": ""Data Safety claims that 'Data is encrypted in transit' and 'Data can’t be deleted', however, the Privacy Policy provides more details about the actual security practices, data collected and data shared."", ""inconsistent"": ""In terms of security practices, Data Safety asserts that 'Data can’t be deleted', but the Privacy Policy mentions that it has no control over the cookies used by business partners and third-party vendors and it is not responsible for the privacy practices of other sites linked on the app's site."" } }"
46,"{""label"" : { ""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""The Privacy Policy does not provide a sharing information section, but the Data Safety provides details on data sharing. There is a discrepancy as the Privacy Policy should ideally include similar information. Therefore, it's considered incorrect.""}}"
47,"{""label"" : { ""incorrect"": 1, ""incomplete"": 0, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""Data Safety provides a detailed list of information shared, including 'Device or other IDs', 'App info and performance', 'App activity', and 'Location', while the Privacy Policy does not provide any sharing information."", ""incomplete"": ""All categories in the Data Safety information are elaborated in detail, so no category is incomplete."", ""inconsistent"": ""As the Privacy Policy provides no information about sharing, there cannot be any inconsistency identified."" } }"
48,"{""label"" : { ""incorrect"": 1,  ""incomplete"": 0, ""inconsistent"": 0 }, ""label_description"": { ""incorrect"": ""The Privacy Policy section has no available information due to an error during processing."", ""incomplete"": """", ""inconsistent"": """" } }"
49,"{""label"" : { ""incorrect"": 0,  ""incomplete"": 0, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""No incorrect information identified as Data Safety and Privacy Policy information have no conflicting information"", ""incomplete"": ""No incomplete information as both Data Safety and Privacy Policy have similar information with no part being more complete than the other"", ""inconsistent"": ""No inconsistent information as both Data Safety and Privacy Policy provide same type of information"" } }"
50,"{""label"" : { ""incorrect"": 0,  ""incomplete"": 1, ""inconsistent"": 1 }, ""label_description"" : { ""incorrect"": ""All the information in the Data Safety section is presented but we cannot verify its correctness as the Privacy Policy doesn't have specific details."", ""incomplete"": ""The Privacy Policy did not provide a detailed classification of data types and their purposes, so we are unable to compare it fully with the Data Safety section."", ""inconsistent"": ""Since the Privacy Policy doesn't specify the type/purpose of data or the security practices, it can't be matched with the Data Safety section, leading to a potential inconsistency."" } }"
51,"{""label"" : { ""incorrect"": 1,  ""incomplete"": 1, ""inconsistent"": 0 }, ""label_description"" : { ""incorrect"": ""The Data Safety section claims that 'No data are shared with third party' while the Privacy Policy clearly mentions scenarios in which data is shared, such as when the user makes a donation or request a visit, data is provided to legal entities or branches."", ""incomplete"": ""The Data Safety section specifies certain categories of data collected, while the Privacy Policy mentions a broader range of data collected when a user voluntarily decides to 'open an account, make a donation, request a visit, or otherwise take any action', and consent to have their data stored in the United States and handled by cooperating organizations in various countries. The Data Safety section lacks this comprehensive information, hence, it's considered incomplete."", ""inconsistent"": ""While there are significant discrepancies between the two sections, the discrepancies denote differences in the scope of information provided rather than inconsistent data. Therefore, no inconsistency issues have been identified."" } }"
