page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1.0,wp.wattpad,Wattpad-10.15.0.apk,Done,https://apkcombo.com/wattpad/wp.wattpad/download/apk,
1.0,org.jw.jwlibrary.mobile,JW-Library-13.5.apk,Done,https://apkcombo.com/jw-library/org.jw.jwlibrary.mobile/download/apk,
1.0,com.overwolf.statsroyale,Stats-Royale-3.6.2.apk,Done,https://apkcombo.com/stats-royale/com.overwolf.statsroyale/download/apk,
1.0,com.amazon.kindle,Amazon-Kindle-8.81.0.100-1.3.289648.0-.apk,Done,https://apkcombo.com/amazon-kindle/com.amazon.kindle/download/apk,
1.0,code.marvelvscapcom.mvsc,Code-Marvel-vs-Capcom--Clash-of-Super-Heroes-1.9.2.apk,Done,https://apkcombo.com/code-marvel-vs-capcom-clash-of-super-heroes/code.marvelvscapcom.mvsc/download/apk,
1.0,com.droidta.spen,English-Spanish-Translator-2.2.apk,Done,https://apkcombo.com/english-spanish-translator/com.droidta.spen/download/apk,
1.0,pdf.reader,PDF-Reader-6.5.apk,Done,https://apkcombo.com/pdf-reader/pdf.reader/download/apk,
1.0,com.eversilk.gachastar,Gacha-Star-2.0.apk,Done,https://apkcombo.com/gacha-star/com.eversilk.gachastar/download/apk,
1.0,com.audible.application,Audible-3.52.0.apk,Done,https://apkcombo.com/audible/com.audible.application/download/apk,
1.0,air.com.myheritage.mobile,MyHeritage-6.4.1.apk,Done,https://apkcombo.com/myheritage/air.com.myheritage.mobile/download/apk,
1.0,com.ng.mangazone,MangaZone-6.0.8.apk,Done,https://apkcombo.com/mangazone/com.ng.mangazone/download/apk,
1.0,com.hyperionics.avar,@Voice-Aloud-Reader--TTS--27.5.12.apk,Done,https://apkcombo.com/voice-aloud-reader-tts/com.hyperionics.avar/download/apk,
1.0,com.atlasmor.Qasim,novela-completa-de-yerno-del-millonario-gratis-1.0.apk,Done,https://apkcombo.com/novela-completa-de-yerno-del-millonario-gratis/com.atlasmor.Qasim/download/apk,
1.0,com.thetgffkings.fityhrerss,arcade-the-king-of-fighter-2002-magic-plus-2-1.apk,Done,https://apkcombo.com/arcade-the-king-of-fighter-2002-magic-plus-2/com.thetgffkings.fityhrerss/download/apk,
1.0,com.teddydeveloper.stardewvalleywiki,Wiki-for-Stardew-Valley-game-2.3.6.apk,Done,https://apkcombo.com/wiki-for-stardew-valley-game/com.teddydeveloper.stardewvalleywiki/download/apk,
1.0,com.google.android.apps.books,Google-Play-Books-2023.5.30.0.1.apk,Done,https://apkcombo.com/google-play-books/com.google.android.apps.books/download/apk,
1.0,com.movinapp.dict.enes.free,Offline-English-Spanish-dictionary-4.2.4.apk,Done,https://apkcombo.com/offline-english-spanish-dictionary/com.movinapp.dict.enes.free/download/apk,
1.0,com.qmstudio.rdr2collectorsmap,Collectors-Map-4.3.apk,Done,https://apkcombo.com/collectors-map/com.qmstudio.rdr2collectorsmap/download/apk,
1.0,org.lds.ldssa,Gospel-Library-6.5.2--640423.958195-.apk,Done,https://apkcombo.com/gospel-library/org.lds.ldssa/download/apk,
1.0,mobi.mangatoon.novel.portuguese,NovelToon-3.04.05.apk,Done,https://apkcombo.com/noveltoon/mobi.mangatoon.novel.portuguese/download/apk,
1.0,hap.pymo.dtips,HappyMood---Happy-Apps-1.0.apk,Done,https://apkcombo.com/happymood-happy-apps/hap.pymo.dtips/download/apk,
1.0,com.aldiko.android,Aldiko-4.8.1.apk,Done,https://apkcombo.com/aldiko/com.aldiko.android/download/apk,
1.0,com.mangalife.mangamaster,Manga-Life-2.16.4.apk,Done,https://apkcombo.com/manga-life/com.mangalife.mangamaster/download/apk,
1.0,org.readera,ReadEra-23.05.11-1800.apk,Done,https://apkcombo.com/readera/org.readera/download/apk,
1.0,com.GangstaBrosLab.FreeFireBattlegroundsAdvice,2018-Free-Fire---Battlegrounds-Advice-1.0.apk,Done,https://apkcombo.com/2018-free-fire-battlegrounds-advice/com.GangstaBrosLab.FreeFireBattlegroundsAdvice/download/apk,
1.0,com.bizarre.bostonhop,Arcade-jojo-1.1.apk,Done,https://apkcombo.com/arcade-jojo/com.bizarre.bostonhop/download/apk,
2.0,com.kingofff2.fighters20020,the-king-of-fighters-2002-game-1.apk,Done,https://apkcombo.com/the-king-of-fighters-2002-game/com.kingofff2.fighters20020/download/apk,
2.0,mobi.mangatoon.novel,NovelToon-3.05.04.apk,Done,https://apkcombo.com/noveltoon/mobi.mangatoon.novel/download/apk,
2.0,com.ms3.ralfoplus,Arcade-for-metal-slug-3-3.983.apk,Done,https://apkcombo.com/arcade-for-metal-slug-3/com.ms3.ralfoplus/download/apk,
2.0,ai.medialab.mangamaster,MangaLife---Best-Free-Manga-Comic-Reader-2.14.0.apk,Done,https://apkcombo.com/mangalife-best-free-manga-comic-reader/ai.medialab.mangamaster/download/apk,
2.0,tlt.online.free.book.novelfull,NovelFull---Reading-novel-online-&-offline-1.3.8.apk,Done,https://apkcombo.com/novelfull-reading-novel-online-offline/tlt.online.free.book.novelfull/download/apk,
2.0,com.eg.gachaneon.guide,Gacha-Neon-3.apk,Done,https://apkcombo.com/gacha-neon/com.eg.gachaneon.guide/download/apk,
2.0,com.foobnix.pdf.reader,Librera-Reader--for-PDF--EPUB-8.9.9.apk,Done,https://apkcombo.com/librera-reader-for-pdf-epub/com.foobnix.pdf.reader/download/apk,
2.0,th3.marvelvs.streetFighters.SF,code-Marvel-vs-Street-fight-1.0.apk,Done,https://apkcombo.com/code-marvel-vs-street-fight/th3.marvelvs.streetFighters.SF/download/apk,
2.0,com.flyersoft.moonreader,Moon--Reader-8.2.apk,Done,https://apkcombo.com/moon-reader/com.flyersoft.moonreader/download/apk,
2.0,com.csnmedia.android.bg,Bible-Gateway-3.14.apk,Done,https://apkcombo.com/bible-gateway/com.csnmedia.android.bg/download/apk,
2.0,free.freeoff.liberty.offlibertyreference.ref2018,Free-offliberty-Reference-2018-1.0.apk,Done,https://apkcombo.com/free-offliberty-reference-2018/free.freeoff.liberty.offlibertyreference.ref2018/download/apk,
2.0,com.fictionpress.fanfiction,FanFiction.Net-58.1-451e834852.apk,Done,https://apkcombo.com/fanfiction-net/com.fictionpress.fanfiction/download/apk,
2.0,com.sluf.fereros,Arcade-for-metal-slug-7-1.0.apk,Done,https://apkcombo.com/arcade-for-metal-slug-7/com.sluf.fereros/download/apk,
