page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1.0,com.microsoft.teams,Microsoft-Teams-1416-1.0.0.2023053702.apk,Done,https://apkcombo.com/teams/com.microsoft.teams/download/apk,"android.permission.REQUEST_INSTALL_PACKAGES
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.WRITE_SETTINGS
android.permission.VIBRATE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.DISABLE_KEYGUARD
android.permission.ACCESS_WIFI_STATE
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_DOWNLOAD_MANAGER
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
android.permission.EXPAND_STATUS_BAR
baidu.push.permission.WRITE_PUSHINFOPROVIDER.com.microsoft.teams
android.permission.READ_PHONE_STATE
android.permission.CHANGE_NETWORK_STATE
android.permission.SCHEDULE_EXACT_ALARM
android.permission.FOREGROUND_SERVICE
android.permission.READ_EXTERNAL_STORAGE
android.permission.CAMERA
android.permission.GET_ACCOUNTS
android.permission.MANAGE_ACCOUNTS
android.permission.USE_CREDENTIALS
android.permission.ACCESS_FINE_LOCATION
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.RECORD_AUDIO
android.permission.CALL_PHONE
android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.BLUETOOTH_SCAN
android.permission.BLUETOOTH_CONNECT
android.permission.USE_FULL_SCREEN_INTENT
android.permission.AUTHENTICATE_ACCOUNTS
android.permission.MANAGE_OWN_CALLS
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS
android.permission.SYSTEM_ALERT_WINDOW
android.permission.READ_CONTACTS
android.permission.WRITE_CONTACTS
android.permission.ACCESS_BACKGROUND_LOCATION
android.permission.USE_FINGERPRINT
android.permission.BLUETOOTH_PRIVILEGED
android.permission.POST_NOTIFICATIONS
com.microsoft.teams.permission.MIPUSH_RECEIVE
com.sec.android.provider.badge.permission.READ
com.sec.android.provider.badge.permission.WRITE
com.htc.launcher.permission.READ_SETTINGS
com.htc.launcher.permission.UPDATE_SHORTCUT
com.sonyericsson.home.permission.BROADCAST_BADGE
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
com.anddoes.launcher.permission.UPDATE_COUNT
com.majeur.launcher.permission.UPDATE_BADGE
com.huawei.android.launcher.permission.CHANGE_BADGE
com.huawei.android.launcher.permission.READ_SETTINGS
com.huawei.android.launcher.permission.WRITE_SETTINGS
android.permission.READ_APP_BADGE
com.oppo.launcher.permission.READ_SETTINGS
com.oppo.launcher.permission.WRITE_SETTINGS
me.everything.badger.permission.BADGE_COUNT_READ
me.everything.badger.permission.BADGE_COUNT_WRITE
android.permission.WAKE_LOCK
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.google.android.c2dm.permission.RECEIVE
android.permission.USE_BIOMETRIC
android.permissAGE
android.permission.RECORD_VIDEO
android.permission.NFC"
1.0,com.google.android.apps.meetings,Google-Meet-2023.05.21.533904565.Release.apk,Done,https://apkcombo.com/google-meet/com.google.android.apps.meetings/download/apk,"com.google.android.providers.gsf.permission.READ_GSERVICES
android.permission.GET_PACKAGE_SIZE
android.permission.CHANGE_NETWORK_STATE
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.BLUETOOTH
android.permission.CAMERA
android.permission.FOREGROUND_SERVICE
android.permission.INTERNET
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.RECORD_AUDIO
android.permission.WAKE_LOCK
android.permission.CALL_PHONE
android.permission.MANAGE_OWN_CALLS
android.permission.USE_FULL_SCREEN_INTENT
android.permission.POST_NOTIFICATIONS
android.permission.FOREGROUND_SERVICE_MICROPHONE
android.permission.FOREGROUND_SERVICE_CAMERA
android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION
android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK
android.permission.FOREGROUND_SERVICE_PHONE_CALL
com.google.android.apps.meetings.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION"
1.0,com.otoreport.wantopup,WanTopup-0.17.apk,Done,https://apkcombo.com/wantopup/com.otoreport.wantopup/download/apk,"android.permission.READ_PRIVILEGED_PHONE_STATE
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_CONTACTS
android.permission.WRITE_INTERNAL_STORAGE
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.GET_ACCOUNTS
android.permission.WAKE_LOCK
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.BLUETOOTH_CONNECT
android.permission.BLUETOOTH_SCAN
com.otoreport.wantopup.permission.C2D_MESSAGE
com.google.android.c2dm.permission.RECEIVE
android.permission.VIBRATE
android.permission.READ_PHONE_STATE
android.permission.CAMERA
android.permission.NFC
android.permission.READ_MEDIA_IMAGES
android.permission.READ_MEDIA_VIDEO
android.permission.READ_MEDIA_AUDIO
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE"
1.0,com.atento.atento1,Atento-A1-1.0.6.apk,Done,https://apkcombo.com/atento-a1/com.atento.atento1/download/apk,"android.permission.INTERNET
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_NETWORK_STATE
android.permission.VIBRATE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.RECORD_AUDIO
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.READ_PHONE_STATE
android.permission.RECORD_VIDEO
android.permission.READ_EXTERNAL_STORAGE
android.permission.WAKE_LOCK
android.permission.CAMERA
com.sec.android.provider.badge.permission.READ
com.sec.android.provider.badge.permission.WRITE
com.htc.launcher.permission.READ_SETTINGS
com.htc.launcher.permission.UPDATE_SHORTCUT
com.sonyericsson.home.permission.BROADCAST_BADGE
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
com.anddoes.launcher.permission.UPDATE_COUNT
com.majeur.launcher.permission.UPDATE_BADGE
com.huawei.android.launcher.permission.CHANGE_BADGE
com.huawei.android.launcher.permission.READ_SETTINGS
com.huawei.android.launcher.permission.WRITE_SETTINGS
android.permission.READ_APP_BADGE
com.oppo.launcher.permission.READ_SETTINGS
com.oppo.launcher.permission.WRITE_SETTINGS
me.everything.badger.permission.BADGE_COUNT_READ
me.everything.badger.permission.BADGE_COUNT_WRITE
com.google.android.c2dm.permission.RECEIVE
com.atento.atento1.permission.C2D_MESSAGE"
1.0,com.wetherspoon.myjdw,myJDW-32.0.4.apk,Done,https://apkcombo.com/myjdw/com.wetherspoon.myjdw/download/apk,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.VIBRATE
android.permission.POST_NOTIFICATIONS
android.permission.CAMERA
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_MEDIA_AUDIO
android.permission.READ_MEDIA_VIDEO
android.permission.READ_MEDIA_IMAGES
android.permission.ACCESS_WIFI_STATE
android.permission.WAKE_LOCK
android.permission.USE_BIOMETRIC
android.permission.USE_FINGERPRINT
com.android.vending.CHECK_LICENSE
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
com.google.android.c2dm.permission.RECEIVE
com.google.android.gms.permission.AD_ID
android.permission.FOREGROUND_SERVICE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.USE_FULL_SCREEN_INTENT
android.permission.SCHEDULE_EXACT_ALARM
android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS
android.permission.ACCESS_NOTIFICATION_POLICY
com.sec.android.provider.badge.permission.READ
com.sec.android.provider.badge.permission.WRITE
com.htc.launcher.permission.READ_SETTINGS
com.htc.launcher.permission.UPDATE_SHORTCUT
com.sonyericsson.home.permission.BROADCAST_BADGE
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
com.anddoes.launcher.permission.UPDATE_COUNT
com.majeur.launcher.permission.UPDATE_BADGE
com.huawei.android.launcher.permission.CHANGE_BADGE
com.huawei.android.launcher.permission.READ_SETTINGS
com.huawei.android.launcher.permission.WRITE_SETTINGS
android.permission.READ_APP_BADGE
com.oppo.launcher.permission.READ_SETTINGS
com.oppo.launcher.permission.WRITE_SETTINGS
me.everything.badger.permission.BADGE_COUNT_READ
me.everything.badger.permission.BADGE_COUNT_WRITE"
1.0,com.rappi.storekeeper,Soy-Rappi-7.73.20230518-28682.apk,Done,https://apkcombo.com/soy-rappi/com.rappi.storekeeper/download/apk,"android.permission.QUERY_ALL_PACKAGES
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.WAKE_LOCK
android.permission.GET_ACCOUNTS
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
com.google.android.c2dm.permission.RECEIVE
android.permission.RECORD_AUDIO
android.permission.READ_CONTACTS
android.permission.CAMERA
android.permission.READ_PHONE_STATE
android.permission.READ_PHONE_NUMBERS
android.permission.FOREGROUND_SERVICE
android.permission.SYSTEM_ALERT_WINDOW
android.permission.VIBRATE
android.permission.DISABLE_KEYGUARD
android.permission.ACCESS_BACKGROUND_LOCATION
android.permission.WRITE_SETTINGS
android.permission.ACCESS_WIFI_STATE
android.permission.CHANGE_WIFI_STATE
com.google.android.gms.permission.ACTIVITY_RECOGNITION
android.permission.ACTIVITY_RECOGNITION
android.permission.RECEIVE_BOOT_COMPLETED
com.google.android.gms.permission.AD_ID
android.permission.POST_NOTIFICATIONS
android.permission.ACCESS_MEDIA_LOCATION
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.GET_TASKS
com.rappi.storekeeper.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION"
1.0,com.samsung.knox.securefolder,Secure-Folder-1.8.02.1.apk,Done,https://apkcombo.com/secure-folder/com.samsung.knox.securefolder/download/apk,"android.permission.SCHEDULE_EXACT_ALARM
com.sec.android.app.launcher.permission.HIDE_SECUREFOLDER
com.samsung.android.aliveprivacy.permission.ENABLE_CS
android.permission.GET_ACCOUNTS_PRIVILEGED
android.permission.GET_INTENT_SENDER_INTENT
android.permission.READ_CALENDAR
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.WRITE_CALENDAR
com.samsung.android.app.calendar.permission.USE_VCAL_COMPONENT
com.samsung.android.app.calendar.permission.USE_ICALENDAR_SERVICE
com.sec.android.app.calendar.permission.WRITE_CALENDAR_SETTINGS
android.permission.READ_CONTACTS
android.permission.WRITE_CONTACTS
com.sec.android.app.contact.permission.CONTACT_SETTINGS
com.wssnps.permission.COM_WSSNPS
com.samsung.knox.bnr.permission.ACCESS
com.sec.android.app.sbrowser.permission.BACKUP_RESTORE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.MANAGE_EXTERNAL_STORAGE
android.permission.READ_MEDIA_IMAGES
android.permission.READ_MEDIA_AUDIO
android.permission.READ_MEDIA_VIDEO
android.permission.READ_PRIVILEGED_PHONE_STATE
android.permission.INTERACT_ACROSS_USERS
android.permission.INTERNET
com.samsung.android.launcher.permission.READ_SETTINGS
com.samsung.android.launcher.permission.WRITE_SETTINGS
com.samsung.android.app.notes.sync.STATE_READ
com.samsung.android.knox.permission.KNOX_CONTAINER_RCP
com.sec.knox.bridge.permission.FILE_OPERATION_HANDLER
com.samsung.android.app.notes.READ
android.permission.READ_EXTERNAL_STORAGE
android.permission.FOREGROUND_SERVICE
com.sec.android.app.myfiles.permission.READ
com.samsung.android.app.notes.DELETE
android.permission.ACCESS_NETWORK_STATE
android.permission.QUERY_ALL_PACKAGES
com.sec.knox.permission.KEYGUARD_SERVICE
com.samsung.android.settings.intelligence.READ_SETTINGS_SEARCH_DATA_PROVIDER
android.permission.MANAGE_USERS
android.permission.INTERACT_ACROSS_USERS_FULL
android.permission.REQUEST_DELETE_PACKAGES
android.permission.DELETE_PACKAGES
android.permission.USE_FINGERPRINT
android.permission.CHANGE_COMPONENT_ENABLED_STATE
android.permission.WRITE_SECURE_SETTINGS
com.android.permission.INSTALL_EXISTING_PACKAGES
android.permission.USE_BIOMETRIC_INTERNAL
com.samsung.android.permission.FINGERPRINT_LOCK_SETTINGS
android.permission.STATUS_BAR
android.permission.WAKE_LOCK
com.samsung.android.knox.permission.KNOX_CONTAINER
android.permission.MANAGE_DEVICE_ADMINS
android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS
android.permission.INSTALL_PACKAGES
android.permission.BIND_DEVICE_ADMIN
android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
android.permission.START_ACTIVITIES_FROM_BACKGROUND
android.permission.START_FOREGROUND_SERVICES_FROM_BACKGROUND
android.permission.SYSTEM_ALERT_WINDOW
android.permission.MANAGE_NOTIFICATIONS
com.sec.android.provider.badge.permission.READ
com.sec.android.provider.badge.permission.WRITE
android.permission.POST_NOTIFICATIONS
com.samsung.android.mobileservice.social.common.provider.opensession.permission.READ"
1.0,com.doordash.driverapp,Dasher---DoorDash-Driver-7.21.7.apk,Done,https://apkcombo.com/dasher/com.doordash.driverapp/download/apk,"android.permission.INTERNET
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_BACKGROUND_LOCATION
android.permission.ACTIVITY_RECOGNITION
com.google.android.gms.permission.ACTIVITY_RECOGNITION
android.permission.READ_PROFILE
android.permission.CALL_PHONE
android.permission.READ_CONTACTS
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
android.permission.ACCESS_NETWORK_STATE
android.permission.READ_EXTERNAL_STORAGE
android.permission.VIBRATE
android.permission.SYSTEM_ALERT_WINDOW
android.permission.FOREGROUND_SERVICE
android.permission.WRITE_EXTERNAL_STORAGE
com.google.android.gms.permission.AD_ID
android.permission.CAMERA
android.permission.FLASHLIGHT
android.permission.ACCESS_WIFI_STATE
android.permission.RECORD_AUDIO
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.POST_NOTIFICATIONS
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.RECEIVE_BOOT_COMPLETED
com.google.android.providers.gsf.permission.READ_GSERVICES"
1.0,com.ubercab.driver,Uber---Driver-4.423.10001.apk,Done,https://apkcombo.com/uber-driver/com.ubercab.driver/download/apk,"android.permission.USE_BIOMETRIC
android.permission.USE_FINGERPRINT
com.ubercab.driver.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
android.permission.WAKE_LOCK
android.permission.ACCESS_NETWORK_STATE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.FOREGROUND_SERVICE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.INTERNET
android.permission.CAMERA
android.permission.WRITE_EXTERNAL_STORAGE
com.google.android.gms.permission.AD_ID
com.google.android.c2dm.permission.RECEIVE
android.permission.POST_NOTIFICATIONS
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_WIFI_STATE
com.google.android.providers.gsf.permission.READ_GSERVICES
android.permission.VIBRATE
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.READ_PHONE_STATE
android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.BLUETOOTH_SCAN
android.permission.BLUETOOTH_CONNECT
android.permission.SYSTEM_ALERT_WINDOW
android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS
android.permission.READ_CONTACTS
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS
android.permission.READ_MEDIA_IMAGES
android.permission.GET_ACCOUNTS
android.permission.CHANGE_NETWORK_STATE
android.permission.USE_FULL_SCREEN_INTENT"
1.0,com.microsoft.windowsintune.companyportal,Intune-Company-Portal-5.0.5883.0.apk,Done,https://apkcombo.com/intune-company-portal/com.microsoft.windowsintune.companyportal/download/apk,"android.permission.INTERNET
android.permission.GET_ACCOUNTS
android.permission.USE_CREDENTIALS
android.permission.MANAGE_ACCOUNTS
android.permission.AUTHENTICATE_ACCOUNTS
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.READ_PHONE_STATE
android.permission.READ_PHONE_NUMBERS
android.permission.WAKE_LOCK
android.permission.ACCESS_WIFI_STATE
android.permission.ACCESS_FINE_LOCATION
android.permission.CHANGE_WIFI_STATE
android.permission.CHANGE_NETWORK_STATE
android.permission.ACCESS_NETWORK_STATE
android.permission.FOREGROUND_SERVICE
android.permission.SYSTEM_ALERT_WINDOW
android.permission.KILL_BACKGROUND_PROCESSES
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION
android.permission.USE_FINGERPRINT
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS
android.permission.REQUEST_INSTALL_PACKAGES
android.permission.REQUEST_DELETE_PACKAGES
com.google.android.c2dm.permission.RECEIVE
com.samsung.android.knox.permission.KNOX_ENTERPRISE_DEVICE_ADMIN
com.samsung.android.knox.permission.KNOX_APP_MGMT
com.samsung.android.knox.permission.KNOX_BLUETOOTH
com.samsung.android.knox.permission.KNOX_BROWSER_SETTINGS
com.samsung.android.knox.permission.KNOX_CERTIFICATE
com.samsung.android.knox.permission.KNOX_EXCHANGE
com.samsung.android.knox.permission.KNOX_HW_CONTROL
com.samsung.android.knox.permission.KNOX_INVENTORY
com.samsung.android.knox.permission.KNOX_KIOSK_MODE
com.samsung.android.knox.permission.KNOX_MULTI_USER_MGMT
com.samsung.android.knox.permission.KNOX_RESTRICTION_MGMT
com.samsung.android.knox.permission.KNOX_SECURITY
com.samsung.android.knox.permission.KNOX_WIFI
android.permission.sec.ENTERPRISE_DEVICE_ADMIN
android.permission.sec.MDM_CERTIFICATE
android.permission.sec.MDM_APP_MGMT
android.permission.sec.MDM_SECURITY
android.permission.sec.MDM_INVENTORY
android.permission.sec.MDM_WIFI
android.permission.sec.MDM_EXCHANGE
android.permission.sec.MDM_BLUETOOTH
android.permission.sec.MDM_BROWSER_SETTINGS
android.permission.sec.MDM_HW_CONTROL
android.permission.sec.MDM_KIOSK_MODE
android.permission.sec.MDM_RESTRICTION
android.permission.sec.MDM_MULTI_USER_MGMT
com.google.android.providers.gsf.permission.READ_GSERVICES
com.microsoft.windowsintune.companyportal.permission.C2D_MESSAGE
com.sec.enterprise.knox.cloudmdm.smdms.permission.SAMSUNG_MDM_SERVICE
com.sec.enterprise.knox.cloudmdm.smdms.provider.permission.READ
com.microsoft.intune.DIAGNOSTICS
com.microsoft.intune.aospagent.DIAGNOSTICS
com.microsoft.intune.CERTIFICATES
com.microsoft.intune.MANAGEMENT_STATE
com.microsoft.intune.aospagent.ENROLLMENT_MODE
android.permission.REQUEST_PASSWORD_COMPLEXITY
android.permission.QUERY_ALL_PACKAGES
com.microsoft.intune.TUNNEL_DIAGNOSTICS
com.motorolasolutions.emdk.mxframework.ACCESS_MX_MANAGEMENT_FRAMEWORK_SERVICE
com.symbol.mxmf.ACCESS_MX_MANAGEMENT_FRAMEWORK_SERVICE
com.microsoft.windowsintune.companyportal.knox.SUPPORT_PERMISSION
com.samsung.android.knox.permission.KNOX_CERT_PROVISIONING
com.microsoft.knox.SUPPORT_PERMISSION
android.permission.USE_BIOMETRIC
android.permission.WRITE_SYNC_SETTINGS
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.NFC"
