page,pkg_name,apkfile_name,download,apk_link,manifest_permission
1,com.icedrive.app,Icedrive-#Secure-Cloud-Storage-2.5.5.apk,Done,https://apkcombo.com/icedrive-secure-cloud-storage/com.icedrive.app/download/apk,
1,com.dubox.drive,Terabox-3.13.1.apk,Done,https://apkcombo.com/terabox/com.dubox.drive/download/apk,
1,hr.telekomcloud.storage,Cloud-Storage-3.9.6.apk,Done,https://apkcombo.com/cloud-storage/hr.telekomcloud.storage/download/apk,
1,com.degoo.android,Degoo--20-GB-Cloud-Storage-1.57.174.221028.apk,Done,https://apkcombo.com/degoo-20-gb-cloud-storage/com.degoo.android/download/apk,
1,ru.yandex.disk,Yandex-Disk—file-cloud-storage-5.59.1.apk,Done,https://apkcombo.com/yandex-disk-file-cloud-storage/ru.yandex.disk/download/apk,
1,com.google.android.apps.nbu.files,Files-by-Google-1.522.533786359.apk,Done,https://apkcombo.com/files-by-google/com.google.android.apps.nbu.files/download/apk,
1,com.alphainventor.filemanager,File-Manager-3.1.5.apk,Done,https://apkcombo.com/file-manager/com.alphainventor.filemanager/download/apk,
1,com.mi.android.globalFileexplorer,File-Manager-V1-210568.apk,Done,https://apkcombo.com/file-manager/com.mi.android.globalFileexplorer/download/apk,
1,com.dropbox.android,Dropbox-330.2.2.apk,Done,https://apkcombo.com/dropbox/com.dropbox.android/download/apk,
1,com.google.android.apps.docs,Google-Drive-2.23.221.0.all.alldpi.apk,Done,https://apkcombo.com/google-drive/com.google.android.apps.docs/download/apk,
1,mega.privacy.android.app,MEGA-8.2-231502126--f74e141226-.apk,Done,https://apkcombo.com/mega/mega.privacy.android.app/download/apk,
1,com.microsoft.skydrive,Microsoft-OneDrive-6.82--Beta-2-.apk,Done,https://apkcombo.com/microsoft-onedrive/com.microsoft.skydrive/download/apk,
1,com.mobisystems.fileman,File-Commander-8.14.47330.apk,Done,https://apkcombo.com/file-commander/com.mobisystems.fileman/download/apk,
1,com.sec.android.app.myfiles,Samsung-My-Files-14.1.03.16.apk,Done,https://apkcombo.com/samsung-my-files/com.sec.android.app.myfiles/download/apk,
1,com.pcloud.pcloud,pCloud-3.19.0.apk,Done,https://apkcombo.com/pcloud/com.pcloud.pcloud/download/apk,
1,files.fileexplorer.filemanager,File-Manager-1.4.4.1.apk,Done,https://apkcombo.com/file-manager/files.fileexplorer.filemanager/download/apk,
1,com.metago.astro,ASTRO-8.12.0.apk,Done,https://apkcombo.com/astro/com.metago.astro/download/apk,
1,com.cxinventor.file.explorer,Cx-File-Explorer-2.0.0.apk,Done,https://apkcombo.com/cx-file-explorer/com.cxinventor.file.explorer/download/apk,
1,pl.solidexplorer2,Solid-Explorer-2.8.31.apk,Done,https://apkcombo.com/solid-explorer/pl.solidexplorer2/download/apk,
1,com.mobisystems.mobidrive,MobiDrive-Cloud-Storage-&-Sync-2.12.5651.apk,Done,https://apkcombo.com/mobidrive-cloud-storage-sync/com.mobisystems.mobidrive/download/apk,
